"zOTU" "Kingdom" "Phylum" "Class" "Order" "Family" "Genus" "Species"
"99" "c36c7aa5e6c47fc763828a8add383940" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" "s__parainfluenzae"
"100" "9944d06673edcfc7c6454b2172208b7a" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" "s__sp._oral_taxon_780"
"101" "e3f6085120269cc587278b4f3486c200" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__sp._oral_taxon_396"
"102" "9a066118f1625102affa349760779152" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Corynebacteriales" "f__Corynebacteriaceae" "g__Corynebacterium" "s__diphtheriae"
"103" "ff48ea2b9d30c737b53aeb9841179d57" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Peptoniphilaceae" "g__Parvimonas" ""
"104" "6e3e062d65c1b047950a2492118eb70b" "k__Bacteria" "p__SR1" "c__SR1_[C-1]" "o__SR1_[O-1]" "f__SR1_[F-1]" "g__SR1_[G-1]" "s__sp._oral_taxon_875"
"105" "eaec3537b269faaf09eedbfd87549aad" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" ""
"106" "8048c6d48b7eb0a432dc4aa28e73ecce" "k__Bacteria" "p__Proteobacteria" "c__Betaproteobacteria" "o__Neisseriales" "f__Neisseriaceae" "" ""
"107" "745ede9c260dafec51cb584a9eb9b950" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"108" "86e4497c054a30a69e80832fa1dfd876" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"109" "29fbc7e5021229480248fa7466a499a2" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Aerococcaceae" "g__Abiotrophia" "s__defectiva"
"110" "e0cbdf14b6d897fcc543bcda30ecab1a" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" ""
"111" "d7926eba30ca0f01bac6fc5d090e9ab9" "k__Bacteria" "p__Bacteroidetes" "c__Flavobacteriia" "o__Flavobacteriales" "f__Flavobacteriaceae" "g__Capnocytophaga" "s__leadbetteri"
"112" "35ffcc3b809d667286737d79670b8de5" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Bifidobacteriales" "f__Bifidobacteriaceae" "g__Bifidobacterium" "(s__breve/s__longum)"
"113" "abde3354c970923d85edb5bda9d798a0" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"114" "e760971780dcb309a237f68058c31e6d" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Ruminococcaceae" "g__Ruminococcaceae_[G-2]" "s__sp._oral_taxon_085"
"115" "ffa583b0b2c230a8e0430c4ac939888a" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" "s__parvula"
"116" "43f23f3b451924647b2d57779d16f6a5" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" "s__parainfluenzae"
"117" "c933a547888fa368561611754e0d4a0b" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "" "" ""
"118" "a2cec0e8d7fe26f1b4376f3692c2c51e" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Lachnospiraceae_[XIV]" "g__Catonella" "s__morbi"
"119" "820c9abaacebd6a706d4378656feea3c" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" "s__periodonticum"
"120" "0cfba58ff749b2fcbd17d53481d7a1fb" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" "s__periodonticum"
"121" "283fbda88937bcb5281d9d201f12780e" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"122" "1524b090dbd05a604d54ed8c2ced1acb" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" "s__sp._oral_taxon_212"
"123" "224d8dd5c4c2bac84ad0f7d23431c838" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" "s__periodonticum"
"124" "f7830a93882f3e41afea3c8e10fd9e61" "k__Bacteria" "p__Firmicutes" "c__Bacilli" "o__Lactobacillales" "f__Streptococcaceae" "g__Streptococcus" "(s__salivarius/s__vestibularis)"
"125" "e7868b781aafd2012562352d044f8cff" "k__Bacteria" "p__Actinobacteria" "c__Actinobacteria" "o__Actinomycetales" "f__Micrococcaceae" "g__Rothia" "s__aeria"
"126" "c7198396ac7c68ffc7abd490b2d86d00" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" ""
"127" "0548b11b6de90319756016a02baab332" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Aggregatibacter" "(s__aphrophilus/s__paraphrophilus)"
"128" "eae880eaa9c99650e399d9b4eb5dd3b0" "k__Bacteria" "p__Firmicutes" "c__Negativicutes" "o__Selenomonadales" "f__Veillonellaceae" "g__Veillonella" ""
"129" "e502ebea2a54a6f839d310d6d57e7d47" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Fusobacteriaceae" "g__Fusobacterium" "s__nucleatum_subsp._animalis"
"130" "54de8ddd0f46444bc815e2e4ed5c4d10" "k__Bacteria" "p__Proteobacteria" "c__Gammaproteobacteria" "o__Pasteurellales" "f__Pasteurellaceae" "g__Haemophilus" "s__parainfluenzae"
"131" "3eb129ba3c12a44620647798dde41194" "k__Bacteria" "p__Firmicutes" "c__Clostridia" "o__Clostridiales" "f__Ruminococcaceae" "g__Ruminococcaceae_[G-1]" "s__sp._oral_taxon_075"
"132" "0f9638d2552efe175d8e971e60bca94f" "k__Bacteria" "p__Bacteroidetes" "c__Bacteroidia" "o__Bacteroidales" "f__Prevotellaceae" "g__Prevotella" "s__salivae"
"133" "6d981e839921749b077c1ae8bcf6f1ae" "k__Bacteria" "p__Fusobacteria" "c__Fusobacteriia" "o__Fusobacteriales" "f__Leptotrichiaceae" "g__Leptotrichia" ""
