190,14,1,1376,74,268,6,0,61,2,0,0,25,0,1,0,6,59,44,6,19,46,1,0,20,0,15,1,11,330,308,0,2,147,1212,0,1,34,47,14,0,1,0,0,52,620,105,1,1,24,0,1,1281,0,54,0,41,6,0,15,1,1,2,10,3,38,129,1638,1,0,723,43,20,0,74,0,0,0,0,14,0,50,2,26,3217,38,11,3,16,1291,0
135,0,2,2334,43,464,1,3,69,1,0,0,17,2,3,0,1,46,24,3,12,20,1,0,29,0,4,1,2,265,123,0,0,85,1921,0,1,81,7,2,0,0,0,0,8,300,125,0,3,51,0,0,740,1,30,0,10,0,0,37,0,2,2,1,5,70,103,4062,0,0,573,7,2,5,116,0,0,1,0,60,0,28,1,62,2539,11,3,0,11,1384,2
158,3,0,751,61,281,2,0,64,2,8,1,41,0,4,0,4,43,79,4,11,73,0,0,38,1,21,29,23,409,415,0,0,323,1532,0,4,42,14,3,0,1,0,0,24,226,113,0,0,26,0,3,723,0,32,0,60,13,0,14,4,10,6,3,24,58,394,1296,0,0,929,10,5,0,169,0,0,0,0,8,0,176,0,44,3198,15,0,1,86,991,9
54,4,0,911,3,290,4,0,206,0,0,0,1,0,0,0,24,18,5,2,5,0,0,0,0,0,0,0,0,50,62,0,0,84,252,0,0,15,6,0,0,0,0,0,1,67,381,0,0,9,0,0,102,0,44,0,0,1,0,36,0,0,0,0,0,35,16,4322,0,4,95,1,1,2,162,0,0,0,0,48,1,0,0,18,1641,3,2,0,0,3431,0
74,11,0,1195,45,212,104,0,163,0,0,0,12,0,0,0,36,48,22,4,2,4,0,0,0,0,0,1,0,19,70,0,0,106,559,0,5,32,33,0,0,0,0,0,18,259,242,0,0,24,0,0,104,0,45,2,1,0,0,14,0,0,0,0,1,3,17,3824,0,0,441,0,4,13,407,0,0,0,0,37,0,0,8,19,3141,1,2,0,0,2753,0
58,14,0,1301,33,61,406,0,324,0,0,0,8,0,0,0,13,9,10,4,1,6,0,0,1,0,1,0,0,9,17,0,0,51,231,0,4,7,10,0,0,0,0,0,8,67,300,0,0,7,0,0,16,0,23,4,0,0,0,2,0,0,0,0,0,0,12,4546,0,0,177,0,0,39,382,0,0,0,0,31,2,0,0,17,3822,0,0,0,2,3356,3
84,40,14,691,69,658,0,2,71,0,0,1,30,1,0,0,1,44,53,11,6,29,0,0,20,0,2,1,0,438,224,0,1,106,2006,0,6,68,1,0,0,2,0,0,20,296,182,2,20,11,0,0,599,0,98,0,2,12,0,19,0,0,0,1,2,40,296,2932,0,3,529,33,37,0,112,0,0,0,0,4,2,5,0,71,1376,18,1,0,4,2046,0
71,24,0,2080,36,220,20,0,163,0,0,0,23,0,0,0,15,57,25,5,2,5,0,0,0,0,1,0,0,79,76,0,0,129,544,1,0,18,29,0,0,0,1,0,10,274,317,0,0,29,0,0,249,0,42,4,0,0,0,42,0,0,0,0,2,19,40,4038,0,0,677,3,3,7,225,0,0,0,0,55,1,0,1,31,1765,0,0,3,0,2135,0
74,9,24,1230,34,28,0,1,48,2,0,0,10,38,0,0,0,25,32,11,1,86,0,0,8,0,1,4,0,72,54,1,0,21,471,1,7,10,0,0,0,0,0,3,20,589,329,8,6,3,0,0,235,0,27,2,1,0,0,0,0,0,0,0,2,1,19,2077,0,0,213,1,0,0,135,0,0,0,0,8,0,0,0,5,1758,4,5,0,7,2030,1
41,10,4,365,8,186,0,0,76,0,0,0,7,0,1,0,0,19,12,1,2,9,0,0,3,0,0,0,0,124,31,0,0,47,537,0,1,6,0,0,0,0,0,0,4,45,182,0,3,7,0,0,225,0,34,0,1,0,0,1,0,0,0,0,1,1,12,2142,0,0,200,0,0,0,32,0,0,0,0,13,0,0,0,17,957,0,0,0,2,1069,0
